ch4_country,n2o_country,srdb_country,gapminder_country,SOC_country
South Africa,South Africa,South Africa,South Africa,South Africa
South Korea,"Korea, Dem. Rep.",South Korea,"Korea, Dem. Rep.",South Korea
Spain,Spain,Spain,Spain,Spain
,Sri Lanka,,Sri Lanka,Sri Lanka
,Sudan,,Sudan,Sudan
,,,,Suriname
,Swaziland,,Swaziland,Swaziland
Sweden,Sweden,Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland,Switzerland,Switzerland
,Syria,,Syria,Syria
,Taiwan,Taiwan,Taiwan,Taiwan
Tanzania,Tanzania,Tanzania,Tanzania,Tanzania
Thailand,Thailand,Thailand,Thailand,Thailand
,,,,Tibet
,Togo,,Togo,Togo
,Trinidad and Tobago,,Trinidad and Tobago,
,Tunisia,Tunisia,Tunisia,Tunisia
,Turkey,Turkey,Turkey,Turkey
,Uganda,Uganda,Uganda,Uganda
UK,UK,UK,United Kingdom,UK
,United Kingdom,United Kingdom,United Kingdom,Ukraine
,,,,United Arab Emirates
USA,USA,USA,United States,USA
,Uruguay,,Uruguay,Uruguay
,,,,Uzbekistan
Venezuela,Venezuela,Venezuela,Venezuela,Venezuela
,Vietnam,Vietnam,Vietnam,Vietnam
,West Bank and Gaza,,West Bank and Gaza,
,"Yemen, Rep.",,"Yemen, Rep.",
,Zambia,,Zambia,Zambia
Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
